label_condition,label_column,grouping_condition,group_column,seed,stack,policy_kind,target_rate,deployable,acquisition_threshold,decision_threshold,selection_acquisition_rate,holdout_acquisition_rate,source_dataset,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,intercept_rate,row_fpr_upper95,negative_dependency_groups,failed_dependency_groups,dependency_group_event_rate,dependency_group_event_upper95
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,cheap_only,,True,,0.27527507015033825,0.0,0.0,jailbreakbench_judge_comparison,28,14,14,4,10,5,9,0.2857142857142857,0.35714285714285715,0.4444444444444444,0.32142857142857145,0.6095851324700832,14,5,0.35714285714285715,0.6095851324700832
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,cheap_only,,True,,0.27527507015033825,0.0,0.0,wildguardtest,342,57,285,12,45,25,260,0.21052631578947367,0.08771929824561403,0.32432432432432434,0.10818713450292397,0.12036115700560274,283,25,0.08833922261484099,0.12119630076565006
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,cheap_only,,True,,0.27527507015033825,0.0,0.0,xstest_safe_gpt4,50,0,50,0,0,5,45,,0.1,0.0,0.1,0.19883300251641847,50,5,0.1,0.19883300251641847
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,full_information,,True,,0.28163923752772757,1.0,1.0,jailbreakbench_judge_comparison,28,14,14,4,10,4,10,0.2857142857142857,0.2857142857142857,0.5,0.2857142857142857,0.5400054465239322,14,4,0.2857142857142857,0.5400054465239322
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,full_information,,True,,0.28163923752772757,1.0,1.0,wildguardtest,342,57,285,12,45,26,259,0.21052631578947367,0.0912280701754386,0.3157894736842105,0.1111111111111111,0.12432410199323556,283,26,0.09187279151943463,0.12518645605245687
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,full_information,,True,,0.28163923752772757,1.0,1.0,xstest_safe_gpt4,50,0,50,0,0,5,45,,0.1,0.0,0.1,0.19883300251641847,50,5,0.1,0.19883300251641847
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,selective_deployable,0.1,True,0.21888244779390553,0.27527507015033825,0.10046728971962617,0.11428571428571428,jailbreakbench_judge_comparison,28,14,14,4,10,5,9,0.2857142857142857,0.35714285714285715,0.4444444444444444,0.32142857142857145,0.6095851324700832,14,5,0.35714285714285715,0.6095851324700832
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,selective_deployable,0.1,True,0.21888244779390553,0.27527507015033825,0.10046728971962617,0.11428571428571428,wildguardtest,342,57,285,12,45,25,260,0.21052631578947367,0.08771929824561403,0.32432432432432434,0.10818713450292397,0.12036115700560274,283,25,0.08833922261484099,0.12119630076565006
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,selective_deployable,0.1,True,0.21888244779390553,0.27527507015033825,0.10046728971962617,0.11428571428571428,xstest_safe_gpt4,50,0,50,0,0,5,45,,0.1,0.0,0.1,0.19883300251641847,50,5,0.1,0.19883300251641847
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,offline_ranked_diagnostic,0.1,False,,0.27527507015033825,0.10046728971962617,0.1,jailbreakbench_judge_comparison,28,14,14,4,10,5,9,0.2857142857142857,0.35714285714285715,0.4444444444444444,0.32142857142857145,0.6095851324700832,14,5,0.35714285714285715,0.6095851324700832
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,offline_ranked_diagnostic,0.1,False,,0.27527507015033825,0.10046728971962617,0.1,wildguardtest,342,57,285,12,45,25,260,0.21052631578947367,0.08771929824561403,0.32432432432432434,0.10818713450292397,0.12036115700560274,283,25,0.08833922261484099,0.12119630076565006
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,offline_ranked_diagnostic,0.1,False,,0.27527507015033825,0.10046728971962617,0.1,xstest_safe_gpt4,50,0,50,0,0,5,45,,0.1,0.0,0.1,0.19883300251641847,50,5,0.1,0.19883300251641847
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,selective_deployable,0.25,True,0.3345110359855733,0.28163923752772757,0.26869158878504673,0.3047619047619048,jailbreakbench_judge_comparison,28,14,14,4,10,4,10,0.2857142857142857,0.2857142857142857,0.5,0.2857142857142857,0.5400054465239322,14,4,0.2857142857142857,0.5400054465239322
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,selective_deployable,0.25,True,0.3345110359855733,0.28163923752772757,0.26869158878504673,0.3047619047619048,wildguardtest,342,57,285,12,45,24,261,0.21052631578947367,0.08421052631578947,0.3333333333333333,0.10526315789473684,0.11638553418969941,283,24,0.08480565371024736,0.11719336503568194
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,selective_deployable,0.25,True,0.3345110359855733,0.28163923752772757,0.26869158878504673,0.3047619047619048,xstest_safe_gpt4,50,0,50,0,0,5,45,,0.1,0.0,0.1,0.19883300251641847,50,5,0.1,0.19883300251641847
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,offline_ranked_diagnostic,0.25,False,,0.28163923752772757,0.25,0.25,jailbreakbench_judge_comparison,28,14,14,4,10,4,10,0.2857142857142857,0.2857142857142857,0.5,0.2857142857142857,0.5400054465239322,14,4,0.2857142857142857,0.5400054465239322
